Tested device: TRM240
Date and time: 2023-06-14_17h57m49s
Modem manufacturer: Quectel
Modem model: EC21
Meaning,Command,Expected,Received,Passed
Read Concatenated Messages,AT+QCMGR=?,OK,OK,True
Set CDMA SMS Text Mode Parameters,AT+QCSMP=?,ERROR,ERROR,True
Read Message,AT+QSMSR=?,ERROR,ERROR,True
List Messages,AT+QSMSL=?,ERROR,ERROR,True
Attachment or Detachment of PS,AT+CGATT=?,OK,OK,True
Define PDP Context,AT+CGDCONT=?,OK,OK,True
Quality of Service Profile (Requested),AT+CGQREQ=?,OK,OK,True
Quality of Service Profile (Minimum Acceptable),AT+CGQMIN=?,OK,OK,True
3G Quality of Service Profile (Requested),AT+CGEQREQ=?,OK,OK,True
3G Quality of Service Profile (Minimum Acceptable),AT+CGEQMIN=?,OK,OK,True
Activate or Deactivate PDP Context,AT+CGACT=?,OK,OK,True
Enter Data State,AT+CGDATA=?,OK,OK,True
Show PDP Address,AT+CGPADDR=?,OK,OK,True
GPRS Mobile Station Class,AT+CGCLASS=?,OK,OK,True
Network Registration Status,AT+CGREG=?,OK,OK,True
Packet Domain Event Reporting,AT+CGEREP=?,OK,OK,True
Select Service for MO SMS Messages,AT+CGSMS=?,OK,OK,True
EPS Network Registration Status,AT+CEREG=?,OK,OK,True
Packet Data Counter,AT+QGDCNT=?,OK,OK,True
Auto Save Packet Data Counter,AT+QAUGDCNT=?,OK,OK,True
Call Forwarding Number and Conditions Control,AT+CCFC=?,OK,OK,True
Call Waiting Control,AT+CCWA=?,OK,OK,True
Call Related Supplementary Services,AT+CHLD=?,OK,OK,True
Calling Line Identification Presentation,AT+CLIP=?,OK,OK,True
Calling Line Identification Restriction,AT+CLIR=?,OK,OK,True
Connected Line Identification Presentation,AT+COLP=?,OK,OK,True
Supplementary Service Notifications,AT+CSSN=?,OK,OK,True
Unstructured Supplementary Service Data,AT+CUSD=?,OK,OK,True
Loud Speaker Volume Level,AT+CLVL=?,OK,OK,True
Mute Control,AT+CMUT=?,OK,OK,True
Enable Audio Loop Test,AT+QAUDLOOP=?,OK,OK,True
DTMF and Tone Generation,AT+VTS=?,OK,OK,True
Set Tone Duration,AT+VTD=?,OK,OK,True
Set Audio Mode,AT+QAUDMOD=?,OK,OK,True
Digital Audio Interface Configure,AT+QDAI=?,OK,OK,True
Power off,AT+QPOWD=?,OK,OK,True
Clock,AT+CCLK=?,OK,OK,True
Battery Charge,AT+CBC=?,OK,OK,True
Configure Whether or Not to Enter into Sleep Mode,AT+QSCLK=?,OK,OK,True
